ID_HERO,NAMA_HERO,CLASS,ROLE,TEAM SUPPORT,ZONING / CONTROL,DISRUPTION,PROTECTION,UTILITY
H079,LING,ASSASSIN,JUNGLING,3,4,4,3,
H080,LOLITA,"SUPPORT, TANK",ROAMING,4,4,4,4,
H081,LOU YI,MAGE,MID LANE,4,4,4,4,
H082,LUKAS,FIGHTER,"EXP LANE, JUNGLING",4,4,4,4,
H083,LUNOX,MAGE,MID LANE,3,4,4,4,
H084,LYLIA,MAGE,MID LANE,1,2,2,1,
H085,MARCEL,SUPPORT,ROAMING,5,5,5,5,
H086,MARTIS,FIGHTER,JUNGLING,3,3,3,3,
H087,MASHA,"FIGHTER, TANK",EXP LANE,3,4,4,3,
H088,MATHILDA,"ASSASSIN, SUPPORT",ROAMING,5,5,4,5,
H089,MELISSA,MARKSMAN,GOLD LANE,2,2,2,2,
H090,MINOTAUR,"SUPPORT, TANK",ROAMING,2,2,2,2,
H091,MINSITTHAR,FIGHTER,"EXP LANE, ROAMING",3,4,3,4,
H092,MIYA,MARKSMAN,GOLD LANE,4,4,4,5,
H093,MOSKOV,MARKSMAN,GOLD LANE,3,3,4,3,
H094,NANA,MAGE,MID LANE,2,2,2,2,
H095,NATALIA,ASSASSIN,"JUNGLING, ROAMING",3,3,3,3,
H096,NATAN,MARKSMAN,GOLD LANE,3,3,3,3,
H097,NOLAN,ASSASSIN,JUNGLING,3,4,4,3,
H098,NOVARIA,MAGE,MID LANE,3,4,4,3,
H099,OBSIDIA,MARKSMAN,GOLD LANE,2,2,4,2,
H100,ODETTE,MAGE,MID LANE,2,2,2,2,
H101,PAQUITO,FIGHTER,EXP LANE,2,4,4,3,
H102,PHARSA,MAGE,MID LANE,3,4,4,3,
H103,PHOVEUS,FIGHTER,EXP LANE,5,5,5,5,
H104,POPOL AND KUPA,MARKSMAN,"GOLD LANE, JUNGLING",1,1,1,1,
H105,RAFAELA,SUPPORT,ROAMING,4,3,3,4,
H106,ROGER,"FIGHTER, MARKSMAN",JUNGLING,3,3,3,3,
H107,RUBY,FIGHTER,EXP LANE,5,4,4,4,
H108,SABER,ASSASSIN,"JUNGLING, ROAMING",1,1,1,1,
H109,SELENA,"ASSASSIN, MAGE","JUNGLING, MID LANE, ROAMING",5,4,4,4,
H110,SILVANNA,FIGHTER,EXP LANE,2,2,2,2,
H111,SORA,FIGHTER,EXP LANE,3,4,4,3,
H112,SOYOU,"ASSASSIN, FIGHTER",JUNGLING,3,4,4,4,
H113,SUN,FIGHTER,"EXP LANE, JUNGLING",2,2,2,2,
H114,TERIZLA,"FIGHTER, TANK",EXP LANE,4,4,4,4,
H115,THAMUZ,FIGHTER,EXP LANE,3,3,3,3,
H116,TIGREAL,TANK,ROAMING,5,4,4,5,
H117,URANUS,TANK,EXP LANE,3,3,3,3,
H118,VALE,MAGE,MID LANE,2,3,3,2,
H119,VALENTINA,MAGE,MID LANE,4,4,4,4,
H120,VALIR,MAGE,MID LANE,2,2,2,2,
H121,VEXANA,MAGE,MID LANE,2,2,2,2,
H122,WANWAN,MARKSMAN,GOLD LANE,2,2,4,2,
H123,X BORG,FIGHTER,EXP LANE,4,4,4,4,
H124,XAVIER,MAGE,MID LANE,2,3,3,2,
H125,YI SUNSHIN,"ASSASSIN, MARKSMAN",JUNGLING,3,4,5,4,
H126,YIN,"ASSASSIN, FIGHTER","EXP LANE, JUNGLING",2,2,2,2,
H127,YUZHONG,FIGHTER,EXP LANE,4,4,4,4,
H128,YVE,MAGE,MID LANE,4,5,5,4,
H129,ZETIAN,MAGE,MID LANE,3,4,4,4,
H130,ZHASK,MAGE,MID LANE,3,3,3,3,
H131,ZHUXIN,MAGE,MID LANE,5,5,5,5,
H132,ZILONG,FIGHTER,EXP LANE,1,1,1,1,
