ID_HERO,NAMA_HERO,CLASS,ROLE,DAMAGE,KILL THREAT/BURST,SUSTAIN DPS,OBJECTIVE PRESSURE,OFFENSE
H034,EDITH,"MARKSMAN, TANK","EXP LANE, ROAMING",3,3,3,3,
H035,ESMERALDA,"MAGE, TANK",EXP LANE,3,3,3,3,
H036,ESTES,SUPPORT,ROAMING,1,1,2,3,
H037,EUDORA,MAGE,MID LANE,3,4,3,3,
H038,FANNY,ASSASSIN,JUNGLING,5,5,5,5,
H039,FARAMIS,"MAGE, SUPPORT",MID LANE,3,3,3,3,
H040,FLORYN,SUPPORT,ROAMING,1,1,1,2,
H041,FRANCO,TANK,ROAMING,1,1,3,3,
H042,FREDRINN,"FIGHTER, TANK",JUNGLING,4,5,4,5,
H043,FREYA,FIGHTER,"EXP LANE, JUNGLING",4,4,5,5,
H044,GATOTKACA,"FIGHTER, TANK","EXP LANE, ROAMING",1,1,3,5,
H045,GLOO,TANK,"EXP LANE, ROAMING",3,2,3,4,
H046,GORD,MAGE,MID LANE,3,4,4,3,
H047,GRANGER,MARKSMAN,GOLD LANE,5,4,5,5,
H048,GROCK,"FIGHTER, TANK","EXP LANE, ROAMING",2,1,3,4,
H049,GUINEVERRE,FIGHTER,EXP LANE,4,3,4,4,
H050,GUSION,ASSASSIN,"JUNGLING, MID LANE",4,5,4,4,
H051,HANABI,MARKSMAN,GOLD LANE,4,2,3,2,
H052,HANZO,ASSASSIN,JUNGLING,4,3,4,4,
H053,HARITH,MAGE,"GOLD LANE, MID LANE",5,4,5,5,
H054,HARLEY,"ASSASSIN, MAGE","JUNGLING, MID LANE",4,5,4,5,
H055,HAYABUSA,ASSASSIN,JUNGLING,3,2,3,4,
H056,HELCURT,ASSASSIN,JUNGLING,5,5,5,5,
H057,HILDA,"FIGHTER, TANK","EXP LANE, ROAMING",3,4,4,4,
H058,HYLOS,TANK,ROAMING,2,1,4,4,
H059,IRITHEL,MARKSMAN,GOLD LANE,4,3,4,4,
H060,IXIA,MARKSMAN,GOLD LANE,4,3,4,4,
H061,JAWHEAD,FIGHTER,"EXP LANE, ROAMING",3,2,3,3,
H062,JOHNSON,"SUPPORT, TANK",ROAMING,3,2,3,3,
H063,JOY,ASSASSIN,JUNGLING,5,4,4,4,
H064,JULIAN,"ASSASSIN, FIGHTER",JUNGLING,5,4,4,4,
H065,KADITA,"ASSASSIN, MAGE",MID LANE,4,5,4,4,
H066,KAGURA,MAGE,MID LANE,5,5,4,4,
H067,KAJA,"FIGHTER, SUPPORT",ROAMING,3,2,3,5,
H068,KALEA,"FIGHTER, SUPPORT",ROAMING,2,1,3,5,
H069,KARRIE,MARKSMAN,GOLD LANE,5,3,3,5,
H070,KARINA,ASSASSIN,JUNGLING,5,4,4,4,
H071,KHALEED,FIGHTER,"EXP LANE, ROAMING",3,2,4,5,
H072,KHUFRA,TANK,ROAMING,2,1,4,5,
H073,KIMMY,"MAGE, MARKSMAN","GOLD LANE, MID LANE",4,3,4,5,
H074,LANCELOT,ASSASSIN,JUNGLING,5,4,4,4,
H075,LAPU-LAPU,FIGHTER,EXP LANE,4,4,4,5,
H076,LAYLA,MARKSMAN,GOLD LANE,3,2,3,3,
H077,LEOMORD,FIGHTER,JUNGLING,4,4,4,4,
H078,LESLEY,MARKSMAN,GOLD LANE,4,4,3,4,
H079,LING,ASSASSIN,JUNGLING,4,4,4,5,
H080,LOLITA,"SUPPORT, TANK",ROAMING,1,1,3,5,
H081,LOU YI,MAGE,MID LANE,4,4,2,4,
H082,LUKAS,FIGHTER,"EXP LANE, JUNGLING",3,4,3,5,
H083,LUNOX,MAGE,MID LANE,4,4,4,4,
H084,LYLIA,MAGE,MID LANE,4,4,4,4,
H085,MARCEL,SUPPORT,ROAMING,3,3,3,4,
H086,MARTIS,FIGHTER,JUNGLING,5,4,4,5,
H087,MASHA,"FIGHTER, TANK",EXP LANE,5,5,3,5,
H088,MATHILDA,"ASSASSIN, SUPPORT",ROAMING,2,1,4,5,
H089,MELISSA,MARKSMAN,GOLD LANE,3,1,3,3,
H090,MINOTAUR,"SUPPORT, TANK",ROAMING,2,1,5,3,
H091,MINSITTHAR,FIGHTER,"EXP LANE, ROAMING",4,2,3,3,
H092,MIYA,MARKSMAN,GOLD LANE,4,1,4,3,
H093,MOSKOV,MARKSMAN,GOLD LANE,5,1,5,5,
H094,NANA,MAGE,MID LANE,4,4,3,3,
H095,NATALIA,ASSASSIN,"JUNGLING, ROAMING",5,2,5,5,
H096,NATAN,MARKSMAN,GOLD LANE,3,2,4,3,
H097,NOLAN,ASSASSIN,JUNGLING,5,5,4,5,
H098,NOVARIA,MAGE,MID LANE,5,5,2,5,
H099,OBSIDIA,MARKSMAN,GOLD LANE,4,2,4,3,
H100,ODETTE,MAGE,MID LANE,3,3,3,4,
H101,PAQUITO,FIGHTER,EXP LANE,4,4,4,4,
H102,PHARSA,MAGE,MID LANE,4,4,2,4,
H103,PHOVEUS,FIGHTER,EXP LANE,4,3,4,5,
H104,POPOL AND KUPA,MARKSMAN,"GOLD LANE, JUNGLING",4,2,3,3,
H105,RAFAELA,SUPPORT,ROAMING,1,1,3,3,
H106,ROGER,"FIGHTER, MARKSMAN",JUNGLING,3,3,3,4,
H107,RUBY,FIGHTER,EXP LANE,3,2,3,4,
H108,SABER,ASSASSIN,"JUNGLING, ROAMING",3,5,3,2,
H109,SELENA,"ASSASSIN, MAGE","JUNGLING, MID LANE, ROAMING",4,4,3,4,
H110,SILVANNA,FIGHTER,EXP LANE,3,3,3,3,
H111,SORA,FIGHTER,EXP LANE,4,4,4,5,
H112,SOYOU,"ASSASSIN, FIGHTER",JUNGLING,4,4,4,5,
H113,SUN,FIGHTER,"EXP LANE, JUNGLING",3,3,3,2,
H114,TERIZLA,"FIGHTER, TANK",EXP LANE,4,3,4,4,
H115,THAMUZ,FIGHTER,EXP LANE,4,3,3,4,
H116,TIGREAL,TANK,ROAMING,2,1,4,5,
H117,URANUS,TANK,EXP LANE,3,4,3,4,
H118,VALE,MAGE,MID LANE,3,3,2,3,
H119,VALENTINA,MAGE,MID LANE,3,3,3,4,
H120,VALIR,MAGE,MID LANE,2,2,3,2,
H121,VEXANA,MAGE,MID LANE,3,3,3,3,
H122,WANWAN,MARKSMAN,GOLD LANE,4,2,2,4,
H123,X BORG,FIGHTER,EXP LANE,4,4,3,5,
H124,XAVIER,MAGE,MID LANE,2,2,2,2,
H125,YI SUNSHIN,"ASSASSIN, MARKSMAN",JUNGLING,4,4,3,5,
H126,YIN,"ASSASSIN, FIGHTER","EXP LANE, JUNGLING",3,4,3,3,
H127,YUZHONG,FIGHTER,EXP LANE,4,4,3,5,
H128,YVE,MAGE,MID LANE,4,4,3,4,
H129,ZETIAN,MAGE,MID LANE,4,3,4,4,
H130,ZHASK,MAGE,MID LANE,3,2,2,2,
H131,ZHUXIN,MAGE,MID LANE,4,3,4,5,
H132,ZILONG,FIGHTER,EXP LANE,3,2,3,2,
